k,precision,recall,f1,support
59,"[0.9618407  0.90169437 0.98410321 0.95055399 0.97487794 0.95389604
 0.96165412 0.94031953 0.98101667 0.91298864]","[0.98897865 0.99280861 0.9162324  0.94718385 0.94003531 0.94313428
 0.98153945 0.95366729 0.88640349 0.94520027]","[0.97520961 0.94500927 0.94888926 0.94882477 0.95710463 0.948462
 0.97148083 0.94690479 0.93120231 0.92877184]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
61,"[0.9623377  0.89801665 0.98453347 0.94889108 0.97522998 0.95521551
 0.96255314 0.94080721 0.98112783 0.91078137]","[0.98876791 0.99274849 0.91392609 0.94806384 0.93844224 0.94178679
 0.9810188  0.95337897 0.88699031 0.94523672]","[0.97536536 0.94295663 0.94788885 0.94844606 0.95646563 0.94841664
 0.97168597 0.94700472 0.9316217  0.92763429]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
63,"[0.96058471 0.89749221 0.98411788 0.94908565 0.97394826 0.95372618
 0.96225638 0.93975439 0.98135453 0.91079274]","[0.98866729 0.99255411 0.91294926 0.94631862 0.93782703 0.94250909
 0.98023663 0.95254657 0.88501126 0.94497898]","[0.97439216 0.94261419 0.94715377 0.94766638 0.95548634 0.94805249
 0.97115557 0.94608232 0.93066597 0.92753985]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
65,"[0.96112061 0.89513252 0.98399076 0.94901959 0.97424034 0.9545712
 0.96161516 0.94036697 0.98120873 0.90787145]","[0.98849932 0.99269318 0.91350247 0.94684014 0.93788503 0.94066231
 0.98082488 0.95114306 0.88306403 0.94365727]","[0.97460645 0.94134573 0.94739965 0.94789115 0.95569204 0.94751927
 0.97110401 0.94570708 0.92952854 0.92540528]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
67,"[0.96127557 0.89389852 0.98397537 0.94822471 0.97373257 0.95222493
 0.96097849 0.93970057 0.98110165 0.9084879 ]","[0.98803883 0.99262785 0.91194703 0.9448637  0.93539746 0.94004129
 0.98037489 0.95101253 0.88313418 0.94497177]","[0.97444497 0.94065101 0.94655009 0.94650819 0.95414853 0.94607342
 0.97055763 0.94529264 0.92952167 0.92632638]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
69,"[0.96090673 0.89261167 0.98365081 0.94880852 0.97380698 0.95135425
 0.96062229 0.9392278  0.98191851 0.90797815]","[0.98782828 0.99238054 0.91078165 0.94457577 0.93546917 0.94091499
 0.98023583 0.95122477 0.88192917 0.94415928]","[0.97416545 0.93984579 0.94577858 0.94666587 0.95421675 0.94606531
 0.9703156  0.94515506 0.92922063 0.92568363]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
71,"[0.96059183 0.89115286 0.98380422 0.94737435 0.97260598 0.95352359
 0.96172748 0.93953002 0.98060912 0.90794646]","[0.98814694 0.99273642 0.91060681 0.94462309 0.9349326  0.93914267
 0.98100489 0.95057535 0.88120553 0.94346365]","[0.97416108 0.93919533 0.94575038 0.94595935 0.95337493 0.94624723
 0.97126282 0.94498928 0.92820603 0.9253214 ]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
73,"[0.9607049  0.88954404 0.98315724 0.94764982 0.97307906 0.9533004
 0.96005777 0.93825476 0.98025614 0.90514057]","[0.98790973 0.99241653 0.90869638 0.94289424 0.93442186 0.93885994
 0.98038356 0.94978753 0.87853989 0.94351405]","[0.97410833 0.93813693 0.94443121 0.94523411 0.95333526 0.94600018
 0.9700944  0.94395265 0.92659174 0.92391575]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
75,"[0.96067656 0.88863901 0.98296018 0.94615867 0.97287554 0.95167918
 0.96007882 0.93710405 0.98090705 0.90516948]","[0.98771051 0.99225181 0.9084145  0.94221807 0.93345664 0.93837219
 0.97993523 0.94926955 0.87783006 0.94304896]","[0.97399191 0.93753501 0.94418084 0.94416815 0.95271514 0.9449366
 0.96987402 0.94309339 0.92647637 0.92369098]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
77,"[0.95994606 0.88771257 0.98377402 0.94602265 0.9724011  0.95316867
 0.95921626 0.93688676 0.98050933 0.90575831]","[0.98737381 0.99234713 0.90641776 0.94226041 0.93534113 0.9374786
 0.97998442 0.9495139  0.87738586 0.94326488]","[0.97345557 0.93704733 0.94343742 0.9440855  0.95350001 0.94520863
 0.96946288 0.94313587 0.92603001 0.92410995]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
79,"[0.96010441 0.88601439 0.98365466 0.94565593 0.97317725 0.95119193
 0.95919864 0.93686945 0.98106349 0.90335661]","[0.98703879 0.99254106 0.9063277  0.9413342  0.93329115 0.93833598
 0.9802555  0.94835078 0.87591787 0.94220365]","[0.97335717 0.936231   0.94338529 0.94345959 0.95277641 0.94469651
 0.96959917 0.94256338 0.92545492 0.92228778]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
81,"[0.95960884 0.88502779 0.98379327 0.9458585  0.972915   0.95230133
 0.95956085 0.93590265 0.98046584 0.90413711]","[0.98753429 0.9926293  0.90512339 0.9420315  0.93330911 0.93808289
 0.98007987 0.94887751 0.87481149 0.94173948]","[0.97335245 0.93571852 0.9427918  0.94391463 0.95266322 0.94510539
 0.9696941  0.94232586 0.92459667 0.92253742]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
83,"[0.95985069 0.8838957  0.98354801 0.94652164 0.97239748 0.95141792
 0.95805995 0.93685538 0.98036442 0.90238489]","[0.98741632 0.99251707 0.90513107 0.94147468 0.93177867 0.9358664
 0.98011912 0.9470313  0.87481579 0.94297439]","[0.97343524 0.93501291 0.94268799 0.94394689 0.9516297  0.94354543
 0.96893859 0.94190385 0.92451813 0.92219738]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
85,"[0.95975304 0.88186847 0.9838531  0.94378477 0.97270372 0.95110356
 0.9579813  0.93607575 0.9805833  0.90257585]","[0.98685576 0.99244171 0.90359866 0.94073874 0.93168814 0.93586776
 0.97989438 0.94712005 0.87364593 0.94193592]","[0.97309341 0.93385675 0.94198064 0.94222155 0.95170919 0.94335373
 0.96880197 0.94153097 0.92400899 0.92179981]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
87,"[0.9591574  0.88200103 0.9842656  0.94468162 0.97254309 0.95086062
 0.9580747  0.93533323 0.97957651 0.90066462]","[0.98691592 0.99247892 0.90226026 0.94079359 0.93069951 0.9349768
 0.98000093 0.94715481 0.87246374 0.94217035]","[0.97282083 0.93395869 0.94146412 0.94270085 0.95114393 0.94282766
 0.96889572 0.94119395 0.92286859 0.92094   ]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
89,"[0.95963362 0.88077842 0.98393166 0.94405171 0.97315626 0.94933863
 0.95717529 0.93532675 0.97980066 0.89912007]","[0.98624399 0.99263053 0.90227841 0.93953345 0.93027224 0.93452457
 0.98015648 0.94640148 0.87043894 0.9419754 ]","[0.97274069 0.93332481 0.94124655 0.94176486 0.95117292 0.94184434
 0.96850666 0.94078731 0.92184537 0.91996849]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
91,"[0.9593402  0.88034547 0.98367763 0.94377656 0.97234201 0.95054891
 0.95727359 0.93388737 0.98014623 0.90001466]","[0.98624322 0.99225337 0.90162263 0.94042725 0.93066482 0.93350923
 0.97925666 0.94633214 0.87202448 0.94112786]","[0.97256794 0.932901   0.94083884 0.94205908 0.95099215 0.94191993
 0.9680991  0.94003579 0.92286813 0.92001312]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
93,"[0.95907013 0.87759021 0.98323717 0.94395261 0.97202751 0.95018972
 0.95824229 0.9339214  0.97982061 0.89789327]","[0.98650629 0.99249178 0.89954977 0.93868788 0.93023632 0.93404261
 0.97857317 0.94569307 0.86991784 0.94120579]","[0.97255796 0.93145221 0.93944782 0.94126138 0.95065847 0.94201482
 0.96829069 0.93974776 0.92154208 0.91895483]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
95,"[0.95891385 0.87795338 0.98283337 0.94244846 0.97240232 0.94940123
 0.95739713 0.93511918 0.979644   0.89624148]","[0.98606851 0.99260777 0.8991434  0.93907779 0.92882484 0.93188704
 0.97851138 0.94624365 0.86914032 0.94139087]","[0.97228817 0.93173678 0.93909749 0.9407267  0.95007349 0.94052575
 0.96782705 0.94062608 0.92103202 0.91820722]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
97,"[0.9585608  0.87684735 0.98336352 0.94278917 0.97313995 0.94865307
 0.95763075 0.93329305 0.97915198 0.89846331]","[0.98619892 0.99262898 0.89790104 0.93884437 0.9291827  0.93339861
 0.97797546 0.94534218 0.86836146 0.94249143]","[0.97217226 0.9311241  0.93866811 0.94077968 0.95062828 0.94090147
 0.96765653 0.93924456 0.92039411 0.91989089]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
99,"[0.95803916 0.87632202 0.98352037 0.9432271  0.97168359 0.94861916
 0.95672847 0.93349497 0.97817079 0.89731019]","[0.98578792 0.99252547 0.89770294 0.93847435 0.92921989 0.93211209
 0.97767809 0.94487125 0.86820699 0.94123236]","[0.97170592 0.93076578 0.9386173  0.94076391 0.94993771 0.94025509
 0.96707255 0.93908866 0.91989066 0.91868645]",[690.3 787.7 699.  714.1 682.4 631.3 687.6 729.3 682.5 695.8]
